ENSG00000004059	ARF5,gtpase activity,retrograde vesicle-mediated transport,protein binding,intracellular protein transport,golgi to endoplasmic reticulum transport,plasma membrane localization
ENSG00000101400	SNTA1,muscle contraction regulation,sodium ion transmembrane transport regulation,neuromuscular junction development,structural protein activity,calcium-binding protein interaction,pds domain binding
ENSG00000104312	RIPK2,serine/threonine kinase activity,histone modification,xenophagy,nf-kappab signal transduction,immature t-cell proliferation,chemokine production
ENSG00000111046	MYF6,transcription factor activity,dna binding,sequence-specific dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,muscle organ development,skeletal muscle cell differentiation
ENSG00000111049	MYF5,e-box binding,rna polymerase ii-specific dna-binding transcription factor activity,dna-binding transcription activator activity,regulation of skeletal muscle fiber development,muscle organ morphogenesis,skeletal muscle cell differentiation
ENSG00000122180	MYOG,chromatin dna binding,rna polymerase ii-specific transcription,rna polymerase ii transcription regulatory region sequence-specific dna binding,sequence-specific dna binding,dna-binding transcription activator activity,protein binding
ENSG00000167207	NOD2,pattern recognition receptor activity,gtpase activator activity,atp binding,muramyl dipeptide binding,peptidoglycan binding,innate immune response
ENSG00000075711	DLG1,cytoskeletal protein binding,phosphatase binding,kinase binding,cell polarity regulation,sodium ion transmembrane transport,actin filament polymerization
ENSG00000171587	DSCAM,cell-cell adhesion mediator activity,axon guidance,netrin receptor binding,central nervous system development,synapse formation,plasma membrane localization
ENSG00000114738	MAPKAPK3,histone kinase activity,protein serine/threonine kinase activity,mitogen-activated protein kinase binding,chromatin remodeling,macropinocytosis,nucleus localization
ENSG00000143344	RGL1,guanyl-nucleotide exchange factor activity,ras protein signal transduction,small gtpase-mediated signal transduction,plasma membrane localization,cytosol localization,protein binding partner
ENSG00000160271	RALGDS,guanyl-nucleotide exchange factor activity,gtpase regulator activity,signal transduction,small gtpase-mediated signal transduction,protein binding,ras protein activation
ENSG00000228736	RGL2,guanyl-nucleotide exchange factor activity,protein binding,small gtpase-mediated signal transduction,negative regulation of cardiac muscle cell apoptotic process,ras protein signal transduction,ral protein signal transduction
ENSG00000135596	MICAL1,fad binding,nad(p)h oxidase h2o2-forming activity,protein binding,oxidoreductase activity,cytoskeleton regulation,actin filament depolymerization
ENSG00000133818	RRAS2,gtp binding activity,gtpase motor activity,protein binding activity,ras protein signal transduction,cell migration,osteoblast differentiation
ENSG00000158186	MRAS,g protein activity,gtp binding,gtp-dependent protein binding,signal transduction,ras protein signal transduction,actin cytoskeleton organization
ENSG00000079308	TNS1,phosphoprotein phosphatase activity,rna binding,cell surface localization,cytoskeleton regulation,fibroblast migration,cell substrate junction assembly
ENSG00000099204	ABLIM1,actin filament binding,protein binding,metal ion binding,lamellipodium assembly,cytoskeleton organization,visual perception
ENSG00000172243	CLEC7A,mhc protein binding,carbohydrate binding,pattern recognition receptor activity,(1->3)-beta-d-glucan binding,metal ion binding,none
ENSG00000107731	UNC5B,netrin receptor activity,anterior/posterior axon guidance,negative regulation of extrinsic apoptotic signaling pathway,angiogenesis,phosphatidylinositol 3-kinase/protein kinase b signal transduction,membrane raft localization
ENSG00000102010	BMX,histone kinase activity,atp binding,protein tyrosine kinase activity,intracellular signal transduction,b cell receptor signaling pathway,cell adhesion
ENSG00000276971	TRPV6,ion channel activity,calcium sensing,metal ion binding,ca2+ transport across plasma membrane,calcium-dependent exocytosis regulation,response to calcium ions
ENSG00000140538	NTRK3,transmembrane receptor tyrosine kinase activity,insulin-like growth factor receptor signaling,fibroblast growth factor receptor signaling,neurotrophin binding,metal ion binding,histone kinase activity
ENSG00000285976	AL135905.2,gene function,gene regulation,chromatin modification,histone kinase activity,negative regulation of cell growth,molecular signaling pathway
ENSG00000069509	FUNDC1,mitophagy,autophagy,mitochondrial fusion,protein binding,hypoxia response,mitochondrial outer membrane localization
ENSG00000206052	DOK6,protein binding activity,cytosolic localization,cell surface receptor tyrosine kinase signaling,ras protein signal transduction,mapk cascade regulation,positive regulation of cellular responses
ENSG00000130396	AFDN,cell-cell adhesion molecule binding,actin filament binding,cadherin binding,protein binding,small gtpase binding,pore complex assembly
ENSG00000027869	SH2D2A,t cell proliferation,cytosol localization,sh3 domain binding,signal transduction,angiogenesis regulation,cancer biomarker
ENSG00000169967	MAP3K2,protein kinase activity,protein serine/threonine kinase activity,mapk cascade,intracellular signal transduction,atp binding,nuclear localization
ENSG00000163995	ABLIM2,actin filament binding,actin binding,metal ion binding,cytoskeleton organization,lamellipodium assembly,plasma membrane interaction
ENSG00000155926	SLA,src-like adaptor activity,epidermal growth factor receptor binding,phosphotyrosine residue binding,signal transduction,mapk cascade regulation,plasma membrane localization
ENSG00000163629	PTPN13,protein tyrosine phosphatase activity,histone h2axy142 phosphatase activity,pi3k/akt signaling,negative regulation of excitatory synapse assembly,chromatin remodeling,plasma membrane localization
ENSG00000185652	NTF3,signaling receptor binding,chemoattractant activity,nerve growth factor receptor binding,protein binding,growth factor activity,neurotrophin receptor binding
ENSG00000073008	PVR,cell adhesion molecule binding,signaling receptor activity,virus receptor activity,natural killer cell mediated cytotoxicity,t-cell mediated cytotoxicity,signal transduction
ENSG00000141738	GRB7,signal transduction,cell migration,rna binding,lipid binding,stress granule assembly,insulin receptor regulation
ENSG00000182168	UNC5C,netrin receptor activity,tubulin binding,protein binding,axon guidance,chemorepulsion,cellular migration
ENSG00000196526	AFAP1,actin binding,actin filament association,cytoskeleton regulation,signal transduction regulation,focal adhesion regulation,cell migration influence
ENSG00000177707	NECTIN3,cell adhesion mediator activity,cell junction localization,heterophilic cell-cell adhesion,synaptic structure regulation,immune evasion,metastasis facilitation
ENSG00000173210	ABLIM3,actin filament binding,lamellipodium assembly,cytoskeleton organization,transcriptional regulation,rna polymerase ii interaction,mitochondrial protein targeting
ENSG00000070778	PTPN21,protein tyrosine phosphatase activity,chromatin remodeling,histone modification,dna repair regulation,cytoskeletal interaction,phosphoprotein regulation
ENSG00000144036	EXOC6B,vesicle tethering,membrane fission,intracellular protein transport,exocytosis,vesicle docking,mitotic cytokinesis
ENSG00000134686	PHC2,histone modification,chromatin regulation,spermatogenesis,negative regulation of dna-templated transcription,prc1 complex formation,metal ion binding
ENSG00000115317	HTRA2,serine/threonine kinase inhibitor activity,apoptotic process regulation,oxidative stress response regulation,ceramide metabolic process regulation,mitochondrial function regulation,cell cycle progression inhibition
ENSG00000123268	ATF1,transcriptional regulation,dna replication,cellular response to stimuli,neuron projection development,chromatin regulation,nucleus localization
ENSG00000112658	SRF,serum response factor activity,dna-binding transcription factor regulation,cell-cell adhesion regulation,glucose metabolism regulation,angiogenesis promotion,cytoskeleton organization regulation
ENSG00000141570	CBX8,chromatin organization,dna repair,transcriptional regulation,histone binding,oxidative stress response,prc1 complex localization
ENSG00000141582	CBX4,negative regulation of apoptotic process,sumo ligase activity,transferase activity,protein sumoylation,negative regulation of dna-templated transcription,methylated histone binding
ENSG00000145649	GZMA,serine-type endopeptidase activity,proteolysis involved in protein catabolic process,response to bacterium,pyroptotic inflammatory response,cytotoxic t cell pyroptotic cell death,granzyme-mediated programmed cell death signaling pathway
ENSG00000158517	NCF1,reactive oxygen species biosynthesis,cellular defense response,innate immune response,super oxide generating nadph oxidase activity,lipid binding,electron transfer activity
ENSG00000158552	ZFAND2B,polyubiquitin modification-dependent protein binding,zinc ion binding,metal ion binding,regulation of insulin-like growth factor receptor signaling,proteasome complex localization,cotranslational protein targeting to membrane
ENSG00000173894	CBX2,methylated histone binding,dna binding,chromatin organization,sex differentiation,cell differentiation,development of primary sexual characteristics
ENSG00000091879	ANGPT2,angiopoietin-2 signaling,angiogenesis promotion,cell-substrate adhesion regulation,coagulation cascade modulation,immune response regulation,extracellular matrix localization
ENSG00000198909	MAP3K3,protein kinase activity,protein serine/threonine kinase activity,map kinase kinase kinase activity,atp binding,protein binding,blood vessel development
ENSG00000171345	KRT19,intermediate filament organization,sarcomere organization,epithelial cell differentiation,notch signaling pathway,cellular response to estrogen,structural constituent of muscle
ENSG00000185532	PRKG1,protein kinase activity,cyclic nucleotide-binding domain-containing protein function,cgmp-dependent protein kinase activity,protein serine/threonine kinase activity,cellular growth regulation,proliferation pathway modulation
ENSG00000206287	RING1,ubiquitin-protein transferase activator activity,chromatin binding,transferase activity,anterior/posterior pattern specification,negative regulation of dna-templated transcription,chromatin organization
ENSG00000136280	CCM2,protein binding,endothelium development,angiogenesis,vasculogenesis,blood vessel morphogenesis,stress-activated mapk cascade
